id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,adminLevel,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,assessmentType,operationStatus
#id+code,#operation+name,#country+name,#country+code,#adm1+name,#adm1+code,#adm2+name,#adm2+code,#adm+level,#affected+idps,#date+reported,#date+year+reported,#date+month+reported,#round+code,#assessment+type,#operation+status
2437494,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,2392,2023-10-21T00:00:00,2023,10,6,BA,Active
2436488,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,1823,2023-10-21T00:00:00,2023,10,6,BA,Active
2437575,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,640,2023-10-21T00:00:00,2023,10,6,BA,Active
2438692,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,7240,2023-10-21T00:00:00,2023,10,6,BA,Active
2437576,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,995,2023-10-23T00:00:00,2023,10,7,BA,Active
2436489,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,1823,2023-10-23T00:00:00,2023,10,7,BA,Active
2437495,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,2433,2023-10-23T00:00:00,2023,10,7,BA,Active
2438855,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,4981,2023-10-23T00:00:00,2023,10,7,BA,Active
2438774,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,103,2023-10-23T00:00:00,2023,10,7,BA,Active
2437657,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,2707,2023-10-23T00:00:00,2023,10,7,BA,Active
2438693,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,8076,2023-10-23T00:00:00,2023,10,7,BA,Active
2438694,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,8126,2023-10-26T00:00:00,2023,10,8,BA,Active
2437658,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,4963,2023-10-26T00:00:00,2023,10,8,BA,Active
2438775,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,103,2023-10-26T00:00:00,2023,10,8,BA,Active
2438856,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,10522,2023-10-26T00:00:00,2023,10,8,BA,Active
2437496,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,2433,2023-10-26T00:00:00,2023,10,8,BA,Active
2436490,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,1823,2023-10-26T00:00:00,2023,10,8,BA,Active
2437577,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,995,2023-10-26T00:00:00,2023,10,8,BA,Active
2437578,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,1107,2023-11-01T00:00:00,2023,11,9,BA,Active
2436491,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,623,2023-11-01T00:00:00,2023,11,9,BA,Active
2437497,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,450,2023-11-01T00:00:00,2023,11,9,BA,Active
2438857,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,11676,2023-11-01T00:00:00,2023,11,9,BA,Active
2438776,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,120,2023-11-01T00:00:00,2023,11,9,BA,Active
2437659,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,5041,2023-11-01T00:00:00,2023,11,9,BA,Active
2438695,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,6691,2023-11-01T00:00:00,2023,11,9,BA,Active
2438696,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,7878,2023-11-07T00:00:00,2023,11,10,BA,Active
2437660,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,3972,2023-11-07T00:00:00,2023,11,10,BA,Active
2438777,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,120,2023-11-07T00:00:00,2023,11,10,BA,Active
2438858,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,12214,2023-11-07T00:00:00,2023,11,10,BA,Active
2437498,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,320,2023-11-07T00:00:00,2023,11,10,BA,Active
2436492,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,596,2023-11-07T00:00:00,2023,11,10,BA,Active
2437579,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,1132,2023-11-07T00:00:00,2023,11,10,BA,Active
2437580,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,2024,2023-11-14T00:00:00,2023,11,11,BA,Active
2436493,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,2110,2023-11-14T00:00:00,2023,11,11,BA,Active
2436412,Displacement due to conflict,Lebanon,LBN,Akkar,LB7,,,1,247,2023-11-14T00:00:00,2023,11,11,BA,Active
2437499,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,6020,2023-11-14T00:00:00,2023,11,11,BA,Active
2438859,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,17384,2023-11-14T00:00:00,2023,11,11,BA,Active
2438778,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,224,2023-11-14T00:00:00,2023,11,11,BA,Active
2437661,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,9070,2023-11-14T00:00:00,2023,11,11,BA,Active
2438697,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,9246,2023-11-14T00:00:00,2023,11,11,BA,Active
2438698,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,10196,2023-11-21T00:00:00,2023,11,12,BA,Active
